유학국,'77,'78,'79,'80,'81,'82,'83,'84,'85,'86,'87,'88,'89,'90,'91,'92,'93,'94,'95,'96,'97,'98,'99,'00,'01,'02,'03,'04,'05,'06,'07,'08,'09,'10,'11,'12,'13,'14,'15,'16,'17,'18,'19
칠레,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,, 1 ,, 1 ,,,,,,,, 1 ,
카자흐스탄,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,
카타르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,, 1 
캐나다,,,,,,,, 1 ,,,,, 1 , 1 ,, 1 , 1 ,,,,,, 1 ,,,,,, 1 ,, 3 , 2 ,, 1 ,,, 2 , 1 , 1 ,, 1 , 1 ,
케냐, 1 ,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,, 1 ,, 1 ,,,,
탄자니아,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,
태국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,, 1 , 1 ,, 1 ,,, 1 ,,,,
터키,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,, 1 ,,,,,
튀니지,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,, 1 ,,,
파키스탄,,,,,,,,,,,,, 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
폴란드,,,,,,,,,,,,,,, 1 , 1 ,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,
프랑스,,, 1 ,,,,,,,,,,,,, 2 , 2 , 1 , 1 , 2 , 3 ,, 5 , 2 , 1 , 2 , 2 , 1 ,,,, 1 ,, 1 ,,, 1 , 1 , 3 , 1 , 2 , 3 , 5 
핀란드,,,,,,,,,,,,,, 1 , 1 ,,,,,,,,,,,,,,,,,, 1 ,,, 1 ,, 1 ,,,,,
헝가리,,,,,,,,,,,, 2 ,,,, 1 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
호주,,,,,,,,,,,,, 1 ,,,,, 1 ,, 1 ,,, 2 , 1 ,,,,,,,,, 1 , 1 ,, 1 , 2 ,, 2 ,,,, 2 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
